"@timestamp","route_info.vid","route_info.location","route_info.timestamp"
"Apr 18, 2023 @ 21:33:20.430",DL1PC9997,"POINT (77.191343 28.653833)","Apr 18, 2023 @ 21:33:06.000"
"Apr 18, 2023 @ 21:32:09.309",DL1PC9997,"POINT (77.192354 28.65296)","Apr 18, 2023 @ 21:31:56.000"
"Apr 18, 2023 @ 21:30:49.954",DL1PC9997,"POINT (77.19308 28.652618)","Apr 18, 2023 @ 21:30:42.000"
"Apr 18, 2023 @ 21:29:50.092",DL1PC9997,"POINT (77.193891 28.652345)","Apr 18, 2023 @ 21:29:42.000"
"Apr 18, 2023 @ 21:28:20.354",DL1PC9997,"POINT (77.194201 28.652028)","Apr 18, 2023 @ 21:28:12.000"
"Apr 18, 2023 @ 21:27:20.479",DL1PC9997,"POINT (77.194201 28.651978)","Apr 18, 2023 @ 21:27:00.000"
"Apr 18, 2023 @ 21:26:16.262",DL1PC9997,"POINT (77.194535 28.651861)","Apr 18, 2023 @ 21:26:00.000"
"Apr 18, 2023 @ 21:25:08.918",DL1PC9997,"POINT (77.194648 28.651583)","Apr 18, 2023 @ 21:25:00.000"
"Apr 18, 2023 @ 21:23:20.647",DL1PC9997,"POINT (77.195205 28.651481)","Apr 18, 2023 @ 21:23:06.000"
"Apr 18, 2023 @ 21:22:20.329",DL1PC9997,"POINT (77.196488 28.650705)","Apr 18, 2023 @ 21:22:06.000"
"Apr 18, 2023 @ 21:21:17.705",DL1PC9997,"POINT (77.19737 28.650058)","Apr 18, 2023 @ 21:20:56.000"
"Apr 18, 2023 @ 21:19:58.518",DL1PC9997,"POINT (77.197861 28.649664)","Apr 18, 2023 @ 21:19:36.000"
"Apr 18, 2023 @ 21:18:20.009",DL1PC9997,"POINT (77.19813 28.649825)","Apr 18, 2023 @ 21:18:06.000"
"Apr 18, 2023 @ 21:17:03.980",DL1PC9997,"POINT (77.198105 28.649549)","Apr 18, 2023 @ 21:16:46.000"
"Apr 18, 2023 @ 21:15:20.482",DL1PC9997,"POINT (77.198494 28.649541)","Apr 18, 2023 @ 21:15:03.000"
"Apr 18, 2023 @ 21:14:20.481",DL1PC9997,"POINT (77.198433 28.649513)","Apr 18, 2023 @ 21:14:03.000"
"Apr 18, 2023 @ 21:13:20.563",DL1PC9997,"POINT (77.198206 28.649424)","Apr 18, 2023 @ 21:13:03.000"
"Apr 18, 2023 @ 21:11:51.316",DL1PC9997,"POINT (77.198584 28.649783)","Apr 18, 2023 @ 21:11:33.000"
"Apr 18, 2023 @ 21:10:51.592",DL1PC9997,"POINT (77.198539 28.649668)","Apr 18, 2023 @ 21:10:33.000"
"Apr 18, 2023 @ 21:09:20.586",DL1PC9997,"POINT (77.198503 28.649701)","Apr 18, 2023 @ 21:09:03.000"
"Apr 18, 2023 @ 21:08:19.925",DL1PC9997,"POINT (77.2 28.648628)","Apr 18, 2023 @ 21:08:03.000"
"Apr 18, 2023 @ 21:07:17.099",DL1PC9997,"POINT (77.200178 28.6485)","Apr 18, 2023 @ 21:06:53.000"
"Apr 18, 2023 @ 21:06:07.440",DL1PC9997,"POINT (77.20031 28.648468)","Apr 18, 2023 @ 21:05:43.000"
"Apr 18, 2023 @ 21:04:55.808",DL1PC9997,"POINT (77.200193 28.648503)","Apr 18, 2023 @ 21:04:33.000"
"Apr 18, 2023 @ 21:03:48.310",DL1PC9997,"POINT (77.204411 28.646938)","Apr 18, 2023 @ 21:03:23.000"
